now,ticks,Ratio,Tx,Rx,lost,lambda,K,rho,E[N],E[T],P_IDLE,P_LOSS
2017-01-15 3:21,600000000,1,150047,150047,0,250,10,0.5,2.50E-01,0.002999,0.824477,0
2017-01-15 3:21,600000000,1,149948,149948,0,250,10,0.5,2.46E-01,0.002986,0.825661,0
2017-01-15 3:21,600000000,1,150425,150425,0,250,10,0.5,2.53E-01,0.003009,0.82346,0
2017-01-15 3:21,600000000,1,149610,149610,0,250,10,0.5,2.46E-01,0.002987,0.825589,0
2017-01-15 3:21,600000000,1,149681,149681,0,250,10,0.5,2.49E-01,0.002998,0.825497,0
2017-01-15 3:21,600000000,1,149972,149972,0,250,10,0.5,2.53E-01,0.003011,0.822656,0
2017-01-15 3:21,600000000,1,149678,149678,0,250,10,0.5,2.47E-01,0.002992,0.826405,0
2017-01-15 3:21,600000000,1,149895,149895,0,250,10,0.5,2.50E-01,0.003001,0.824587,0
2017-01-15 3:22,600000000,1,149507,149507,0,250,10,0.5,2.46E-01,0.002989,0.826388,0
2017-01-15 3:22,600000000,1,150491,150491,0,250,10,0.5,2.53E-01,0.00301,0.822419,0
2017-01-15 3:22,600000000,1,179754,179754,0,300,10,0.6,4.45E-01,0.003484,0.729778,0
2017-01-15 3:22,600000000,1,179519,179517,2,300,10,0.6,4.46E-01,0.00349,0.729758,0.000011
2017-01-15 3:22,600000000,1,179857,179857,0,300,10,0.6,4.50E-01,0.003501,0.729219,0
2017-01-15 3:22,600000000,1,180098,180095,3,300,10,0.6,4.56E-01,0.003519,0.728211,0.000017
2017-01-15 3:22,600000000,1,179863,179863,0,300,10,0.6,4.46E-01,0.003487,0.729884,0
2017-01-15 3:22,600000000,1,180273,180272,1,300,10,0.6,4.50E-01,0.003499,0.728661,0.000006
2017-01-15 3:22,600000000,1,180168,180168,0,300,10,0.6,4.54E-01,0.003511,0.727478,0
2017-01-15 3:22,600000000,1,179851,179849,2,300,10,0.6,4.53E-01,0.003513,0.728441,0.000011
2017-01-15 3:22,600000000,1,180132,180131,1,300,10,0.6,4.50E-01,0.003499,0.729245,0.000006
2017-01-15 3:22,600000000,1,180049,180047,2,300,10,0.6,4.44E-01,0.00348,0.729791,0.000011
2017-01-15 3:22,600000000,1,210408,210372,36,350,10,0.7,8.08E-01,0.004304,0.604278,0.000171
2017-01-15 3:22,600000000,1,210401,210361,40,350,10,0.7,8.23E-01,0.004349,0.602398,0.00019
2017-01-15 3:22,600000000,1,209419,209408,11,350,10,0.7,7.98E-01,0.004285,0.607465,0.000053
2017-01-15 3:23,600000000,1,209653,209627,26,350,10,0.7,8.11E-01,0.00432,0.606749,0.000124
2017-01-15 3:23,600000000,1,210164,210138,26,350,10,0.7,8.17E-01,0.004334,0.604445,0.000124
2017-01-15 3:23,600000000,1,210220,210199,21,350,10,0.7,8.14E-01,0.004323,0.603426,0.0001
2017-01-15 3:23,600000000,1,209863,209836,27,350,10,0.7,8.27E-01,0.004365,0.603166,0.000129
2017-01-15 3:23,600000000,1,210156,210132,24,350,10,0.7,8.02E-01,0.004291,0.604005,0.000114
2017-01-15 3:23,600000000,1,209564,209556,8,350,10,0.7,8.11E-01,0.004321,0.605802,0.000038
2017-01-15 3:23,600000000,1,210388,210353,35,350,10,0.7,8.23E-01,0.004346,0.602674,0.000166
2017-01-15 3:23,600000000,1,240133,239777,356,400,10,0.8,1.53E+00,0.005832,0.446016,0.001483
2017-01-15 3:23,600000000,1,240473,240116,357,400,10,0.8,1.55E+00,0.00588,0.445007,0.001485
2017-01-15 3:23,600000000,1,240392,240063,329,400,10,0.8,1.52E+00,0.005806,0.446946,0.001369
2017-01-15 3:23,600000000,1,239569,239150,419,400,10,0.8,1.52E+00,0.005825,0.449565,0.001749
2017-01-15 3:23,600000000,1,240103,239705,398,400,10,0.8,1.51E+00,0.005791,0.449434,0.001658
2017-01-15 3:23,600000000,1,240506,240078,428,400,10,0.8,1.55E+00,0.00588,0.444291,0.00178
2017-01-15 3:23,600000000,1,240040,239704,336,400,10,0.8,1.53E+00,0.005825,0.446966,0.0014
2017-01-15 3:24,600000000,1,240134,239762,372,400,10,0.8,1.51E+00,0.005785,0.448777,0.001549
2017-01-15 3:24,600000000,1,240334,239988,346,400,10,0.8,1.52E+00,0.005805,0.446625,0.00144
2017-01-15 3:24,600000000,1,239844,239461,383,400,10,0.8,1.54E+00,0.005849,0.449057,0.001597
2017-01-15 3:24,600000000,1,269335,266644,2691,450,10,0.9,2.90E+00,0.008526,0.272382,0.009991
2017-01-15 3:24,600000000,1,270338,267366,2972,450,10,0.9,2.96E+00,0.008646,0.26853,0.010994
2017-01-15 3:24,600000000,1,270696,267946,2750,450,10,0.9,2.96E+00,0.008631,0.26286,0.010159
2017-01-15 3:24,600000000,1,270604,267782,2822,450,10,0.9,2.98E+00,0.008683,0.264749,0.010429
2017-01-15 3:24,600000000,1,270005,267128,2877,450,10,0.9,2.94E+00,0.0086,0.269745,0.010655
2017-01-15 3:24,600000000,1,269852,267032,2820,450,10,0.9,2.93E+00,0.00859,0.271592,0.01045
2017-01-15 3:24,600000000,1,270059,267246,2813,450,10,0.9,2.92E+00,0.008564,0.269676,0.010416
2017-01-15 3:24,600000000,1,269499,266956,2543,450,10,0.9,2.90E+00,0.008512,0.270876,0.009436
2017-01-15 3:24,600000000,1,269843,267006,2837,450,10,0.9,2.94E+00,0.0086,0.271254,0.010514
2017-01-15 3:24,600000000,1,270528,267676,2852,450,10,0.9,2.94E+00,0.008596,0.266064,0.010542
2017-01-15 3:25,600000000,1,300634,287967,12667,500,10,1,5.16E+00,0.012759,0.109522,0.042134
2017-01-15 3:25,600000000,1,299630,287186,12444,500,10,1,5.07E+00,0.012593,0.116611,0.041531
2017-01-15 3:25,600000000,1,300055,287150,12905,500,10,1,5.14E+00,0.012748,0.116037,0.043009
2017-01-15 3:25,600000000,1,300417,287630,12787,500,10,1,5.13E+00,0.012701,0.112876,0.042564
2017-01-15 3:25,600000000,1,299390,286995,12395,500,10,1,5.05E+00,0.012562,0.117889,0.041401
2017-01-15 3:25,600000000,1,300663,287523,13140,500,10,1,5.16E+00,0.012764,0.114018,0.043703
2017-01-15 3:25,600000000,1,300306,287161,13145,500,10,1,5.11E+00,0.012685,0.116016,0.043772
2017-01-15 3:25,600000000,1,299830,287159,12671,500,10,1,5.10E+00,0.012647,0.116727,0.042261
2017-01-15 3:25,600000000,1,299063,286767,12296,500,10,1,5.03E+00,0.012516,0.119307,0.041115
2017-01-15 3:25,600000000,1,300228,287283,12945,500,10,1,5.14E+00,0.012729,0.114429,0.043117
2017-01-15 3:25,600000000,1,329650,296517,33133,550,10,1.1,7.16E+00,0.016482,0.034599,0.10051
2017-01-15 3:25,600000000,1,330930,296882,34048,550,10,1.1,7.25E+00,0.016643,0.031784,0.102886
2017-01-15 3:26,600000000,1,328866,296487,32379,550,10,1.1,7.15E+00,0.016465,0.035007,0.098457
2017-01-15 3:26,600000000,1,330053,296665,33388,550,10,1.1,7.17E+00,0.016511,0.033638,0.10116
2017-01-15 3:26,600000000,1,330361,296809,33552,550,10,1.1,7.21E+00,0.016566,0.032157,0.101562
2017-01-15 3:26,600000000,1,328968,296630,32338,550,10,1.1,7.14E+00,0.016433,0.034138,0.098301
2017-01-15 3:26,600000000,1,330094,296494,33600,550,10,1.1,7.21E+00,0.016585,0.033988,0.101789
2017-01-15 3:26,600000000,1,329459,296409,33050,550,10,1.1,7.15E+00,0.016465,0.035251,0.100316
2017-01-15 3:26,600000000,1,330698,296598,34100,550,10,1.1,7.24E+00,0.016649,0.033904,0.103115
2017-01-15 3:26,600000000,1,330333,296641,33692,550,10,1.1,7.18E+00,0.016513,0.034073,0.101994
2017-01-15 3:26,600000000,1,359631,299178,60453,600,10,1.2,8.45E+00,0.018948,0.008903,0.168097
2017-01-15 3:26,600000000,1,360146,299306,60840,600,10,1.2,8.49E+00,0.019012,0.007769,0.168931
2017-01-15 3:26,600000000,1,358987,299227,59760,600,10,1.2,8.44E+00,0.018914,0.008742,0.166468
