now,ticks,ratio,Tx,Rx,lost,lambda,K,rho,E[N],E[T],P_IDLE,P_LOSS
2017-01-16 22:22,600,0.000001,149843,149843,0,250,10,0.5,2.49E-01,0.002996,0.825477,0
2017-01-16 22:22,600,0.000001,149396,149396,0,250,10,0.5,2.45E-01,0.002982,0.827508,0
2017-01-16 22:22,600,0.000001,149848,149848,0,250,10,0.5,2.46E-01,0.002983,0.826795,0
2017-01-16 22:23,600,0.000001,150749,150749,0,250,10,0.5,2.52E-01,0.003003,0.822681,0
2017-01-16 22:23,600,0.000001,149331,149331,0,250,10,0.5,2.49E-01,0.002999,0.825635,0
2017-01-16 22:23,600,0.000001,150205,150205,0,250,10,0.5,2.54E-01,0.003013,0.823024,0
2017-01-16 22:23,600,0.000001,150114,150114,0,250,10,0.5,2.48E-01,0.00299,0.825003,0
2017-01-16 22:23,600,0.000001,150302,150301,0,250,10,0.5,2.53E-01,0.00301,0.823756,0
2017-01-16 22:23,600,0.000001,150110,150109,0,250,10,0.5,2.55E-01,0.003019,0.823271,0
2017-01-16 22:23,600,0.000001,149664,149664,0,250,10,0.5,2.50E-01,0.003001,0.824598,0
2017-01-16 22:23,600,0.000001,179863,179860,3,300,10,0.6,4.48E-01,0.003495,0.729521,0.000017
2017-01-16 22:23,600,0.000001,179637,179636,0,300,10,0.6,4.47E-01,0.003493,0.728766,0
2017-01-16 22:23,600,0.000001,180965,180963,1,300,10,0.6,4.58E-01,0.00352,0.72518,0.000006
2017-01-16 22:23,600,0.000001,179356,179354,2,300,10,0.6,4.43E-01,0.003483,0.731329,0.000011
2017-01-16 22:23,600,0.000001,179837,179836,1,300,10,0.6,4.50E-01,0.003501,0.729322,0.000006
2017-01-16 22:23,600,0.000001,179988,179987,0,300,10,0.6,4.48E-01,0.003492,0.730391,0
2017-01-16 22:24,600,0.000001,179872,179871,1,300,10,0.6,4.46E-01,0.003489,0.729567,0.000006
2017-01-16 22:24,600,0.000001,180292,180291,1,300,10,0.6,4.51E-01,0.0035,0.72807,0.000006
2017-01-16 22:24,600,0.000001,180690,180689,0,300,10,0.6,4.55E-01,0.003509,0.727037,0
2017-01-16 22:24,600,0.000001,179972,179970,2,300,10,0.6,4.57E-01,0.003522,0.727317,0.000011
2017-01-16 22:24,600,0.000001,210068,210044,22,350,10,0.7,8.08E-01,0.004307,0.604272,0.000105
2017-01-16 22:24,600,0.000001,208640,208618,22,350,10,0.7,7.80E-01,0.004244,0.611766,0.000105
