now,ticks,ratio,Tx,Rx,lost,lambda,K,rho,E[N],E[T],P_IDLE,P_LOSS
2017/01/16 22:00:46,1200.000000,0.000010,119803.000000,119803.000,0.000000,100.000000,-1.000000,0.200000,2.486878e-02,0.002249,0.977219,0.000000
2017/01/16 22:00:47,1200.000000,0.000010,240595.000000,240595.000,0.000000,200.000000,-1.000000,0.400000,1.317638e-01,0.002657,0.895668,0.000000
2017/01/16 22:00:48,1200.000000,0.000010,359929.000000,359929.000,0.000000,300.000000,-1.000000,0.600000,4.430627e-01,0.003477,0.731382,0.000000
2017/01/16 22:00:49,1200.000000,0.000010,479826.000000,479824.000,0.000000,400.000000,-1.000000,0.800000,1.594979e+00,0.005989,0.446395,0.000000
2017/01/16 22:00:50,1200.000000,0.000010,598091.000000,597948.000,0.000000,500.000000,-1.000000,1.000000,1.676697e+02,0.338454,0.009222,0.000000
2017/01/16 22:00:51,1200.000000,0.000010,716696.000000,599999.000,0.000000,600.000000,-1.000000,1.200000,5.864827e+04,98.189588,0.000003,0.000000
2017/01/16 22:00:53,1200.000000,0.000010,838722.000000,599999.000,0.000000,700.000000,-1.000000,1.400000,1.192633e+05,170.604781,0.000005,0.000000
2017/01/16 22:00:54,1200.000000,0.000010,954977.000000,599999.000,0.000000,800.000000,-1.000000,1.600000,1.772903e+05,222.820017,0.000002,0.000000
2017/01/16 22:00:55,1200.000000,0.000010,1077044.000000,599999.000,0.000000,900.000000,-1.000000,1.800000,2.387549e+05,265.870258,0.000000,0.000000
2017/01/16 22:00:56,1200.000000,0.000010,1194212.000000,599999.000,0.000000,1000.000000,-1.000000,2.000000,2.969566e+05,298.043091,0.000001,0.000000
2017/01/16 22:00:57,1200.000000,0.000010,119522.000000,119522.000,0.000000,100.000000,10.000000,0.200000,2.476979e-02,0.002249,0.977347,0.000000
2017/01/16 22:00:58,1200.000000,0.000010,240158.000000,240158.000,0.000000,200.000000,10.000000,0.400000,1.341653e-01,0.002670,0.894602,0.000000
2017/01/16 22:00:59,1200.000000,0.000010,358865.000000,358857.000,5.000000,300.000000,10.000000,0.600000,4.421434e-01,0.003478,0.732122,0.000014
2017/01/16 22:01:00,1200.000000,0.000010,478741.000000,478147.000,594.000000,400.000000,10.000000,0.800000,1.481796e+00,0.005719,0.453319,0.001241
2017/01/16 22:01:01,1200.000000,0.000010,597972.000000,573812.000,24154.000000,500.000000,10.000000,1.000000,5.016052e+00,0.012490,0.118813,0.040393
2017/01/16 22:01:02,1200.000000,0.000010,719090.000000,598576.000,120504.000000,600.000000,10.000000,1.200000,8.488179e+00,0.019017,0.007791,0.167578
2017/01/16 22:01:03,1200.000000,0.000010,837840.000000,599954.000,237875.000000,700.000000,10.000000,1.400000,9.603105e+00,0.021207,0.000339,0.283915
2017/01/16 22:01:04,1200.000000,0.000010,954421.000000,599998.000,354413.000000,800.000000,10.000000,1.600000,1.002140e+01,0.022043,0.000017,0.371338
2017/01/16 22:01:05,1200.000000,0.000010,1074590.000000,599999.000,474581.000000,900.000000,10.000000,1.800000,1.023871e+01,0.022477,0.000003,0.441639
2017/01/16 22:01:06,1200.000000,0.000010,1193533.000000,599999.000,593523.000000,1000.000000,10.000000,2.000000,1.036886e+01,0.022738,0.000000,0.497282
2017/01/16 22:01:07,1200.000000,0.000010,120641.000000,120641.000,0.000000,100.000000,25.000000,0.200000,2.526443e-02,0.002251,0.976905,0.000000
2017/01/16 22:01:08,1200.000000,0.000010,240278.000000,240278.000,0.000000,200.000000,25.000000,0.400000,1.344839e-01,0.002672,0.894599,0.000000
2017/01/16 22:01:09,1200.000000,0.000010,359063.000000,359063.000,0.000000,300.000000,25.000000,0.600000,4.444210e-01,0.003485,0.731177,0.000000
2017/01/16 22:01:10,1200.000000,0.000010,477865.000000,477863.000,1.000000,400.000000,25.000000,0.800000,1.585040e+00,0.005980,0.451855,0.000002
2017/01/16 22:01:11,1200.000000,0.000010,597866.000000,587609.000,10232.000000,500.000000,25.000000,1.000000,1.207855e+01,0.026666,0.056035,0.017114
2017/01/16 22:01:12,1200.000000,0.000010,717358.000000,599999.000,117335.000000,600.000000,25.000000,1.200000,2.329996e+01,0.048599,0.000010,0.163565
2017/01/16 22:01:13,1200.000000,0.000010,838061.000000,599999.000,238036.000000,700.000000,25.000000,1.400000,2.459067e+01,0.051180,0.000004,0.284032
2017/01/16 22:01:14,1200.000000,0.000010,954877.000000,599998.000,354853.000000,800.000000,25.000000,1.600000,2.502017e+01,0.052039,0.000008,0.371622
2017/01/16 22:01:15,1200.000000,0.000010,1074418.000000,599999.000,474393.000000,900.000000,25.000000,1.800000,2.523569e+01,0.052470,0.000002,0.441535
2017/01/16 22:01:17,1200.000000,0.000010,1193698.000000,599999.000,593673.000000,1000.000000,25.000000,2.000000,2.537035e+01,0.052740,0.000000,0.497339
2017/01/16 22:01:17,1200.000000,0.000010,119752.000000,119752.000,0.000000,100.000000,50.000000,0.200000,2.446457e-02,0.002245,0.977483,0.000000
2017/01/16 22:01:18,1200.000000,0.000010,240251.000000,240251.000,0.000000,200.000000,50.000000,0.400000,1.329308e-01,0.002664,0.895247,0.000000
2017/01/16 22:01:19,1200.000000,0.000010,359520.000000,359519.000,0.000000,300.000000,50.000000,0.600000,4.416361e-01,0.003474,0.731083,0.000000
2017/01/16 22:01:20,1200.000000,0.000010,478665.000000,478664.000,0.000000,400.000000,50.000000,0.800000,1.588420e+00,0.005982,0.449414,0.000000
2017/01/16 22:01:21,1200.000000,0.000010,599302.000000,593297.000,5996.000000,500.000000,50.000000,1.000000,2.466355e+01,0.051884,0.030201,0.010005
2017/01/16 22:01:22,1200.000000,0.000010,718071.000000,599997.000,118033.000000,600.000000,50.000000,1.200000,4.831419e+01,0.098625,0.000019,0.164375
2017/01/16 22:01:24,1200.000000,0.000010,838033.000000,599995.000,237989.000000,700.000000,50.000000,1.400000,4.959654e+01,0.101190,0.000016,0.283985
2017/01/16 22:01:25,1200.000000,0.000010,958406.000000,599999.000,358356.000000,800.000000,50.000000,1.600000,5.002335e+01,0.102042,0.000001,0.373908
2017/01/16 22:01:26,1200.000000,0.000010,1076655.000000,599999.000,476605.000000,900.000000,50.000000,1.800000,5.023697e+01,0.102470,0.000002,0.442672
2017/01/16 22:01:27,1200.000000,0.000010,1194966.000000,599999.000,594916.000000,1000.000000,50.000000,2.000000,5.036929e+01,0.102734,0.000002,0.497852
2017/01/17 09:30:15,1200.000000,0.000010,119926.000000,119926.000,0.000000,100.000000,-1.000000,0.200000,2.478383e-02,0.002248,0.977259,0.000000
2017/01/17 09:31:23,1200.000000,0.000010,119721.000000,119721.000,0.000000,100.000000,-1.000000,0.200000,2.459058e-02,0.002246,0.977408,0.000000
2017/01/17 09:31:59,1200.000000,0.000010,120256.000000,120256.000,0.000000,100.000000,-1.000000,0.200000,2.546045e-02,0.002254,0.976778,0.000000
2017/01/17 09:32:00,1200.000000,0.000010,240080.000000,240080.000,0.000000,200.000000,-1.000000,0.400000,1.322544e-01,0.002661,0.895608,0.000000
2017/01/17 09:32:01,1200.000000,0.000010,359152.000000,359152.000,0.000000,300.000000,-1.000000,0.600000,4.408706e-01,0.003473,0.731514,0.000000
2017/01/17 09:32:02,1200.000000,0.000010,480206.000000,480203.000,0.000000,400.000000,-1.000000,0.800000,1.596394e+00,0.005989,0.445563,0.000000
2017/01/17 09:32:03,1200.000000,0.000010,597169.000000,597045.000,0.000000,500.000000,-1.000000,1.000000,1.098730e+02,0.222811,0.013548,0.000000
2017/01/17 09:32:04,1200.000000,0.000010,716518.000000,599999.000,0.000000,600.000000,-1.000000,1.200000,5.840511e+04,97.897521,0.000004,0.000000
