now,ticks,ratio,packets,lambda,K,rho,E[N],E[T],P_IDLE,P_LOSS
2017/01/15 00:30:44,1200000000.000000,1.000000e-06,1.198420e+05,100.000,-1.000000,0.200000,0.024713,2.247455e-03,0.977404,0.000000
2017/01/15 00:30:51,1200000000.000000,1.000000e-06,2.400140e+05,200.000,-1.000000,0.400000,0.132571,2.662814e-03,0.895555,0.000000
2017/01/15 00:30:59,1200000000.000000,1.000000e-06,3.593960e+05,300.000,-1.000000,0.600000,0.449597,3.501176e-03,0.729190,0.000000
2017/01/15 00:31:08,1200000000.000000,1.000000e-06,4.793820e+05,400.000,-1.000000,0.800000,1.604780,6.017122e-03,0.446723,0.000000
2017/01/15 00:31:17,1200000000.000000,1.000000e-06,5.993580e+05,500.000,-1.000000,1.000000,434.564609,8.713251e-01,0.002920,0.000000
2017/01/15 00:31:26,1200000000.000000,1.000000e-06,5.999960e+05,600.000,-1.000000,1.200000,60128.283610,1.004026e+02,0.000018,0.000000
2017/01/15 00:31:35,1200000000.000000,1.000000e-06,5.999970e+05,700.000,-1.000000,1.400000,119871.949820,1.713668e+02,0.000009,0.000000
2017/01/15 00:31:45,1200000000.000000,1.000000e-06,5.999990e+05,800.000,-1.000000,1.600000,180712.009958,2.259971e+02,0.000001,0.000000
2017/01/15 00:31:54,1200000000.000000,1.000000e-06,5.999990e+05,900.000,-1.000000,1.800000,240359.289825,2.668717e+02,0.000001,0.000000
2017/01/15 00:32:03,1200000000.000000,1.000000e-06,5.999990e+05,1000.000,-1.000000,2.000000,299137.468364,2.992586e+02,0.000000,0.000000
2017/01/15 00:32:11,1200000000.000000,1.000000e-06,1.198210e+05,100.000,10.000000,0.200000,0.024760,2.247968e-03,0.977321,0.000000
2017/01/15 00:32:18,1200000000.000000,1.000000e-06,2.398610e+05,200.000,10.000000,0.400000,0.132268,2.661716e-03,0.895535,0.000000
2017/01/15 00:32:26,1200000000.000000,1.000000e-06,3.605390e+05,300.000,10.000000,0.600000,0.450882,3.500694e-03,0.728915,0.000017
2017/01/15 00:32:34,1200000000.000000,1.000000e-06,4.789610e+05,400.000,10.000000,0.800000,1.523552,5.817142e-03,0.448142,0.001631
2017/01/15 00:32:43,1200000000.000000,1.000000e-06,5.745760e+05,500.000,10.000000,1.000000,5.101296,1.265387e-02,0.114853,0.043576
2017/01/15 00:32:53,1200000000.000000,1.000000e-06,5.986060e+05,600.000,10.000000,1.200000,8.481783,1.900287e-02,0.007992,0.201294
