now,ticks,ratio,packets,lambda,K,rho,E[N],E[T],P_IDLE,P_LOSS
2017-01-15 0:22,1200000,1.00E-03,1.14E+05,100,-1,0.2,0.01112,2.12E-03,0.988992,0
2017-01-15 0:22,1200000,1.00E-03,1.68E+05,150,-1,0.3,0.02694,2.19E-03,0.973742,0
2017-01-15 0:22,1200000,1.00E-03,2.17E+05,200,-1,0.4,0.05196,2.29E-03,0.950703,0
2017-01-15 0:22,1200000,1.00E-03,2.65E+05,250,-1,0.5,0.087573,2.40E-03,0.919374,0
2017-01-15 0:22,1200000,1.00E-03,3.11E+05,300,-1,0.6,0.140417,2.54E-03,0.877435,0
2017-01-15 0:22,1200000,1.00E-03,3.54E+05,350,-1,0.7,0.213072,2.72E-03,0.824423,0
2017-01-15 0:22,1200000,1.00E-03,3.97E+05,400,-1,0.8,0.321148,2.97E-03,0.756817,0
2017-01-15 0:22,1200000,1.00E-03,4.34E+05,450,-1,0.9,0.471813,3.30E-03,0.678796,0
2017-01-15 0:22,1200000,1.00E-03,4.72E+05,500,-1,1,0.723524,3.84E-03,0.580303,0
2017-01-15 0:22,1200000,1.00E-03,5.08E+05,550,-1,1.1,1.167532,4.76E-03,0.460333,0
2017-01-15 0:22,1200000,1.00E-03,5.43E+05,600,-1,1.2,2.112348,6.67E-03,0.319928,0
2017-01-15 0:22,1200000,1.00E-03,5.74E+05,650,-1,1.3,5.298318,1.31E-02,0.157292,0
2017-01-15 0:22,1200000,1.00E-03,6.00E+05,700,-1,1.4,2299.44172,4.57E+00,0.000095,0
2017-01-15 0:22,1200000,1.00E-03,6.00E+05,750,-1,1.5,16555.69505,3.13E+01,0.000093,0
2017-01-15 0:22,1200000,1.00E-03,6.00E+05,800,-1,1.6,30378.87751,5.52E+01,0.000027,0
2017-01-15 0:22,1200000,1.00E-03,6.00E+05,850,-1,1.7,43451.68322,7.59E+01,0.000008,0
2017-01-15 0:22,1200000,1.00E-03,6.00E+05,900,-1,1.8,56387.35856,9.49E+01,0.000001,0
2017-01-15 0:22,1200000,1.00E-03,6.00E+05,950,-1,1.9,67843.21473,1.11E+02,0.000001,0
2017-01-15 0:22,1200000,1.00E-03,6.00E+05,1000,-1,2,78962.77529,1.25E+02,0.000002,0
2017-01-15 0:22,1200000,1.00E-03,1.14E+05,100,10,0.2,0.011361,2.12E-03,0.988775,0
2017-01-15 0:22,1200000,1.00E-03,1.68E+05,150,10,0.3,0.027117,2.19E-03,0.973648,0
2017-01-15 0:22,1200000,1.00E-03,2.18E+05,200,10,0.4,0.05201,2.29E-03,0.950656,0
2017-01-15 0:22,1200000,1.00E-03,2.65E+05,250,10,0.5,0.087273,2.39E-03,0.919814,0
2017-01-15 0:22,1200000,1.00E-03,3.11E+05,300,10,0.6,0.139617,2.54E-03,0.877564,0
2017-01-15 0:22,1200000,1.00E-03,3.54E+05,350,10,0.7,0.211164,2.72E-03,0.825216,0
2017-01-15 0:22,1200000,1.00E-03,3.96E+05,400,10,0.8,0.318791,2.97E-03,0.758538,0
2017-01-15 0:22,1200000,1.00E-03,4.34E+05,450,10,0.9,0.474432,3.31E-03,0.677741,0
2017-01-15 0:22,1200000,1.00E-03,4.72E+05,500,10,1,0.727436,3.85E-03,0.578524,0.000015
2017-01-15 0:22,1200000,1.00E-03,5.07E+05,550,10,1.1,1.142363,4.70E-03,0.46332,0.000114
2017-01-15 0:22,1200000,1.00E-03,5.41E+05,600,10,1.2,1.978818,6.39E-03,0.327419,0.001374
2017-01-15 0:22,1200000,1.00E-03,5.69E+05,650,10,1.3,3.363864,9.09E-03,0.188497,0.007331
2017-01-15 0:22,1200000,1.00E-03,5.89E+05,700,10,1.4,5.419434,1.30E-02,0.077949,0.026353
