now,ticks,Tx,Rx,lost,lambda,K,rho,E[N],E[T],P_IDLE,P_LOSS
2017/01/15 02:16:37,12000000000.000000,119736.000000,119736.000000,0.000,100.000000,-1.000000,0.200000,2.463625e-02,0.002247,0.977404,0.000000
2017/01/15 02:17:51,12000000000.000000,239628.000000,239628.000000,0.000,200.000000,-1.000000,0.400000,1.332561e-01,0.002667,0.895120,0.000000
2017/01/15 02:19:14,12000000000.000000,359879.000000,359879.000000,0.000,300.000000,-1.000000,0.600000,4.471887e-01,0.003491,0.729743,0.000000
2017/01/15 02:20:45,12000000000.000000,479461.000000,479461.000000,0.000,400.000000,-1.000000,0.800000,1.593781e+00,0.005989,0.446489,0.000000
2017/01/15 02:22:25,12000000000.000000,599790.000000,599790.000000,0.000,500.000000,-1.000000,1.000000,6.679058e+02,1.337353,0.000875,0.000000
2017/01/15 02:24:05,12000000000.000000,599995.000000,599995.000000,0.000,600.000000,-1.000000,1.200000,6.018025e+04,100.222787,0.000015,0.000000
2017/01/15 02:25:46,12000000000.000000,599999.000000,599999.000000,0.000,700.000000,-1.000000,1.400000,1.203559e+05,171.482251,0.000002,0.000000
2017/01/15 02:27:24,12000000000.000000,599999.000000,599999.000000,0.000,800.000000,-1.000000,1.600000,1.792740e+05,224.298954,0.000001,0.000000
2017/01/15 02:29:04,12000000000.000000,599999.000000,599999.000000,0.000,900.000000,-1.000000,1.800000,2.396387e+05,266.612876,0.000000,0.000000
2017/01/15 02:30:46,12000000000.000000,599999.000000,599999.000000,0.000,1000.000000,-1.000000,2.000000,3.002119e+05,300.128062,0.000000,0.000000
2017/01/15 02:32:03,12000000000.000000,120124.000000,120124.000000,0.000,100.000000,10.000000,0.200000,2.478765e-02,0.002248,0.977307,0.000000
2017/01/15 02:33:22,12000000000.000000,239915.000000,239915.000000,0.000,200.000000,10.000000,0.400000,1.335079e-01,0.002668,0.895032,0.000000
2017/01/15 02:34:46,12000000000.000000,359954.000000,359950.000000,4.000,300.000000,10.000000,0.600000,4.459223e-01,0.003487,0.730112,0.000011
2017/01/15 02:36:16,12000000000.000000,480232.000000,479543.000000,689.000,400.000000,10.000000,0.800000,1.519235e+00,0.005802,0.448160,0.001435
2017/01/15 02:37:52,12000000000.000000,599449.000000,574175.000000,25274.000,500.000000,10.000000,1.000000,5.087273e+00,0.012632,0.117097,0.042162
2017/01/15 02:39:29,12000000000.000000,722014.000000,598575.000000,123439.000,600.000000,10.000000,1.200000,8.506748e+00,0.019054,0.007804,0.170965
2017/01/15 02:41:06,12000000000.000000,841096.000000,599933.000000,241163.000,700.000000,10.000000,1.400000,9.614125e+00,0.021230,0.000385,0.286725
2017/01/15 02:42:43,12000000000.000000,958723.000000,599998.000000,358725.000,800.000000,10.000000,1.600000,1.002338e+01,0.022047,0.000016,0.374170
2017/01/15 02:44:20,12000000000.000000,1079542.000000,599999.000000,479543.000,900.000000,10.000000,1.800000,1.023930e+01,0.022478,0.000000,0.444210
2017/01/15 02:45:56,12000000000.000000,1200243.000000,599999.000000,600244.000,1000.000000,10.000000,2.000000,1.037236e+01,0.022745,0.000001,0.500102
2017/01/15 02:47:12,12000000000.000000,120297.000000,120297.000000,0.000,100.000000,25.000000,0.200000,2.550385e-02,0.002254,0.976678,0.000000
2017/01/15 02:48:30,12000000000.000000,240220.000000,240220.000000,0.000,200.000000,25.000000,0.400000,1.349372e-01,0.002674,0.894050,0.000000
2017/01/15 02:49:52,12000000000.000000,360900.000000,360900.000000,0.000,300.000000,25.000000,0.600000,4.511905e-01,0.003500,0.727710,0.000000
2017/01/15 02:51:19,12000000000.000000,479638.000000,479635.000000,3.000,400.000000,25.000000,0.800000,1.590596e+00,0.005979,0.446757,0.000006
2017/01/15 02:52:55,12000000000.000000,601273.000000,589658.000000,11615.000,500.000000,25.000000,1.000000,1.297536e+01,0.028406,0.046224,0.019317
2017/01/15 02:54:31,12000000000.000000,719544.000000,599991.000000,119553.000,600.000000,25.000000,1.200000,2.333468e+01,0.048669,0.000049,0.166151
2017/01/15 02:56:08,12000000000.000000,841548.000000,599995.000000,241553.000,700.000000,25.000000,1.400000,2.460252e+01,0.051204,0.000011,0.287034
2017/01/15 02:57:44,12000000000.000000,960253.000000,599999.000000,360254.000,800.000000,25.000000,1.600000,2.502805e+01,0.052055,0.000003,0.375166
2017/01/15 02:59:22,12000000000.000000,1079579.000000,599999.000000,479580.000,900.000000,25.000000,1.800000,2.523841e+01,0.052476,0.000001,0.444229
2017/01/15 03:00:58,12000000000.000000,1200303.000000,599999.000000,600304.000,1000.000000,25.000000,2.000000,2.537010e+01,0.052739,0.000001,0.500127
2017/01/15 03:02:14,12000000000.000000,119726.000000,119726.000000,0.000,100.000000,50.000000,0.200000,2.454551e-02,0.002246,0.977517,0.000000
2017/01/15 03:03:33,12000000000.000000,240355.000000,240355.000000,0.000,200.000000,50.000000,0.400000,1.342441e-01,0.002670,0.894461,0.000000
2017/01/15 03:04:55,12000000000.000000,359665.000000,359665.000000,0.000,300.000000,50.000000,0.600000,4.516120e-01,0.003507,0.728247,0.000000
2017/01/15 03:06:23,12000000000.000000,479334.000000,479334.000000,0.000,400.000000,50.000000,0.800000,1.596304e+00,0.005996,0.446138,0.000000
2017/01/15 03:07:59,12000000000.000000,600063.000000,594283.000000,5780.000,500.000000,50.000000,1.000000,2.573059e+01,0.053955,0.025812,0.009632
2017/01/15 03:09:36,12000000000.000000,721123.000000,599999.000000,121124.000,600.000000,50.000000,1.200000,4.834978e+01,0.098695,0.000006,0.167966
2017/01/15 03:11:17,12000000000.000000,840738.000000,599998.000000,240740.000,700.000000,50.000000,1.400000,4.960106e+01,0.101198,0.000008,0.286344
2017/01/15 03:12:56,12000000000.000000,960050.000000,599999.000000,360051.000,800.000000,50.000000,1.600000,5.002719e+01,0.102050,0.000005,0.375034
2017/01/15 03:14:35,12000000000.000000,1080116.000000,599999.000000,480117.000,900.000000,50.000000,1.800000,5.024266e+01,0.102481,0.000001,0.444505
2017/01/15 03:16:13,12000000000.000000,1201010.000000,599999.000000,601011.000,1000.000000,50.000000,2.000000,5.037002e+01,0.102736,0.000000,0.500421
