now,ticks,Tx,Rx,lost,lambda,K,rho,E[N],E[T],P_IDLE,P_LOSS
2017/01/15 03:18:22,120000000.000000,119546.000000,119546.000000,0.000,100.000000,-1.000000,0.200000,2.476886e-02,0.002249,0.977368,0.000000
2017/01/15 03:18:22,120000000.000000,240610.000000,240610.000000,0.000,200.000000,-1.000000,0.400000,1.324096e-01,0.002660,0.895701,0.000000
2017/01/15 03:18:23,120000000.000000,358940.000000,358940.000000,0.000,300.000000,-1.000000,0.600000,4.433338e-01,0.003482,0.731495,0.000000
2017/01/15 03:18:24,120000000.000000,479509.000000,479509.000000,0.000,400.000000,-1.000000,0.800000,1.557845e+00,0.005899,0.446889,0.000000
2017/01/15 03:18:25,120000000.000000,597472.000000,597472.000000,0.000,500.000000,-1.000000,1.000000,1.036576e+02,0.210183,0.011396,0.000000
2017/01/15 03:18:26,120000000.000000,599992.000000,599992.000000,0.000,600.000000,-1.000000,1.200000,5.861471e+04,97.927713,0.000034,0.000000
2017/01/15 03:18:27,120000000.000000,599999.000000,599999.000000,0.000,700.000000,-1.000000,1.400000,1.183099e+05,169.487134,0.000002,0.000000
2017/01/15 03:18:28,120000000.000000,599999.000000,599999.000000,0.000,800.000000,-1.000000,1.600000,1.768820e+05,222.234760,0.000000,0.000000
2017/01/15 03:18:29,120000000.000000,599999.000000,599999.000000,0.000,900.000000,-1.000000,1.800000,2.377661e+05,264.985610,0.000003,0.000000
2017/01/15 03:18:30,120000000.000000,599999.000000,599999.000000,0.000,1000.000000,-1.000000,2.000000,2.962804e+05,298.508394,0.000001,0.000000
2017/01/15 03:18:31,120000000.000000,120398.000000,120398.000000,0.000,100.000000,10.000000,0.200000,2.519131e-02,0.002251,0.976959,0.000000
2017/01/15 03:18:32,120000000.000000,239612.000000,239612.000000,0.000,200.000000,10.000000,0.400000,1.320170e-01,0.002661,0.895750,0.000000
2017/01/15 03:18:33,120000000.000000,359244.000000,359237.000000,7.000,300.000000,10.000000,0.600000,4.413671e-01,0.003474,0.731050,0.000019
2017/01/15 03:18:34,120000000.000000,479185.000000,478492.000000,693.000,400.000000,10.000000,0.800000,1.504189e+00,0.005772,0.451536,0.001446
2017/01/15 03:18:35,120000000.000000,598108.000000,573711.000000,24397.000,500.000000,10.000000,1.000000,5.042457e+00,0.012547,0.118916,0.040790
2017/01/15 03:18:36,120000000.000000,718378.000000,598567.000000,119811.000,600.000000,10.000000,1.200000,8.447529e+00,0.018935,0.007940,0.166780
2017/01/15 03:18:37,120000000.000000,835239.000000,599951.000000,235288.000,700.000000,10.000000,1.400000,9.582504e+00,0.021166,0.000378,0.281701
2017/01/15 03:18:38,120000000.000000,955582.000000,599999.000000,355583.000,800.000000,10.000000,1.600000,1.002119e+01,0.022042,0.000003,0.372111
2017/01/15 03:18:39,120000000.000000,1076544.000000,599998.000000,476546.000,900.000000,10.000000,1.800000,1.023746e+01,0.022475,0.000009,0.442663
2017/01/15 03:18:40,120000000.000000,1194213.000000,599999.000000,594214.000,1000.000000,10.000000,2.000000,1.036990e+01,0.022740,0.000001,0.497578
2017/01/15 03:18:41,120000000.000000,120094.000000,120094.000000,0.000,100.000000,25.000000,0.200000,2.494440e-02,0.002249,0.977101,0.000000
2017/01/15 03:18:42,120000000.000000,239390.000000,239390.000000,0.000,200.000000,25.000000,0.400000,1.326059e-01,0.002665,0.895648,0.000000
2017/01/15 03:18:43,120000000.000000,360061.000000,360061.000000,0.000,300.000000,25.000000,0.600000,4.443623e-01,0.003481,0.729957,0.000000
2017/01/15 03:18:44,120000000.000000,478368.000000,478367.000000,1.000,400.000000,25.000000,0.800000,1.569808e+00,0.005938,0.449816,0.000002
2017/01/15 03:18:45,120000000.000000,600032.000000,588927.000000,11105.000,500.000000,25.000000,1.000000,1.253858e+01,0.027548,0.050437,0.018507
2017/01/15 03:18:46,120000000.000000,717222.000000,599982.000000,117240.000,600.000000,25.000000,1.200000,2.326303e+01,0.048526,0.000094,0.163464
2017/01/15 03:18:48,120000000.000000,836941.000000,599999.000000,236942.000,700.000000,25.000000,1.400000,2.458176e+01,0.051163,0.000000,0.283105
2017/01/15 03:18:49,120000000.000000,956152.000000,599999.000000,356153.000,800.000000,25.000000,1.600000,2.502633e+01,0.052052,0.000000,0.372486
2017/01/15 03:18:50,120000000.000000,1075704.000000,599999.000000,475705.000,900.000000,25.000000,1.800000,2.524045e+01,0.052480,0.000000,0.442227
2017/01/15 03:18:51,120000000.000000,1195118.000000,599999.000000,595119.000,1000.000000,25.000000,2.000000,2.537203e+01,0.052743,0.000000,0.497958
2017/01/15 03:18:52,120000000.000000,120223.000000,120223.000000,0.000,100.000000,50.000000,0.200000,2.513261e-02,0.002251,0.977026,0.000000
2017/01/15 03:18:53,120000000.000000,239843.000000,239843.000000,0.000,200.000000,50.000000,0.400000,1.321032e-01,0.002661,0.895833,0.000000
2017/01/15 03:18:53,120000000.000000,359202.000000,359202.000000,0.000,300.000000,50.000000,0.600000,4.407284e-01,0.003472,0.732038,0.000000
2017/01/15 03:18:54,120000000.000000,480036.000000,480036.000000,0.000,400.000000,50.000000,0.800000,1.573546e+00,0.005934,0.445654,0.000000
2017/01/15 03:18:55,120000000.000000,597706.000000,593363.000000,4343.000,500.000000,50.000000,1.000000,2.326087e+01,0.049039,0.030203,0.007266
2017/01/15 03:18:56,120000000.000000,716052.000000,599999.000000,116053.000,600.000000,50.000000,1.200000,4.824133e+01,0.098479,0.000000,0.162073
2017/01/15 03:18:57,120000000.000000,838224.000000,599999.000000,238225.000,700.000000,50.000000,1.400000,4.961016e+01,0.101216,0.000000,0.284202
2017/01/15 03:18:59,120000000.000000,958875.000000,599998.000000,358877.000,800.000000,50.000000,1.600000,5.002419e+01,0.102044,0.000005,0.374269
2017/01/15 03:19:00,120000000.000000,1077050.000000,599999.000000,477051.000,900.000000,50.000000,1.800000,5.023692e+01,0.102470,0.000001,0.442924
2017/01/15 03:19:01,120000000.000000,1193801.000000,599999.000000,593802.000,1000.000000,50.000000,2.000000,5.037035e+01,0.102736,0.000000,0.497405
