now,ticks,Tx,Rx,lost,lambda,K,rho,E[N],E[T],P_IDLE,P_LOSS
2017-01-15 1:51,1200000,113983,113983,0,100,-1,0.2,1.12E-02,0.002118,0.988861,0
2017-01-15 1:51,1200000,217667,217667,0,200,-1,0.4,5.12E-02,0.002282,0.951258,0
2017-01-15 1:51,1200000,311326,311326,0,300,-1,0.6,1.40E-01,0.002541,0.876621,0
2017-01-15 1:51,1200000,395884,395884,0,400,-1,0.8,3.20E-01,0.002969,0.757133,0
2017-01-15 1:51,1200000,472777,472777,0,500,-1,1,7.27E-01,0.003845,0.578508,0
2017-01-15 1:51,1200000,540875,540875,0,600,-1,1.2,2.07E+00,0.006585,0.326873,0
2017-01-15 1:51,1200000,599974,599974,0,700,-1,1.4,2.26E+03,4.495997,0.000114,0
2017-01-15 1:51,1200000,599998,599998,0,800,-1,1.6,3.06E+04,55.538472,0.000007,0
2017-01-15 1:51,1200000,599996,599996,0,900,-1,1.8,5.59E+04,94.204165,0.000018,0
2017-01-15 1:51,1200000,599999,599999,0,1000,-1,2,7.91E+04,125.174629,0.000001,0
2017-01-15 1:51,1200000,114486,114486,0,100,10,0.2,1.14E-02,0.002119,0.988776,0
2017-01-15 1:51,1200000,217642,217642,0,200,10,0.4,5.13E-02,0.002283,0.951293,0
2017-01-15 1:51,1200000,310368,310368,0,300,10,0.6,1.39E-01,0.002537,0.878124,0
2017-01-15 1:51,1200000,397045,397045,0,400,10,0.8,3.25E-01,0.002981,0.756054,0
2017-01-15 1:51,1200000,471830,471814,16,500,10,1,7.16E-01,0.003821,0.581152,0.000034
2017-01-15 1:51,1200000,541059,540279,780,600,10,1.2,1.96E+00,0.006356,0.329922,0.001442
2017-01-15 1:51,1200000,603996,588428,15568,700,10,1.4,5.37E+00,0.012945,0.078805,0.025775
2017-01-15 1:51,1200000,660685,599382,61303,800,10,1.6,8.38E+00,0.018777,0.005091,0.092787
2017-01-15 1:51,1200000,712255,599977,112278,900,10,1.8,9.41E+00,0.020819,0.000215,0.157637
2017-01-15 1:51,1200000,758715,599995,158720,1000,10,2,9.81E+00,0.021626,0.000038,0.209196
2017-01-15 1:51,1200000,113974,113974,0,100,25,0.2,1.11E-02,0.002117,0.988978,0
2017-01-15 1:51,1200000,217759,217759,0,200,25,0.4,5.11E-02,0.002282,0.951302,0
2017-01-15 1:51,1200000,311255,311255,0,300,25,0.6,1.40E-01,0.00254,0.877241,0
2017-01-15 1:51,1200000,395598,395598,0,400,25,0.8,3.20E-01,0.002971,0.758178,0
2017-01-15 1:51,1200000,472022,472022,0,500,25,1,7.28E-01,0.003851,0.579135,0
2017-01-15 1:51,1200000,541921,541920,1,600,25,1.2,2.11E+00,0.006663,0.321243,0.000002
2017-01-15 1:51,1200000,603865,596141,7724,700,25,1.4,1.41E+01,0.03041,0.02608,0.012791
2017-01-15 1:51,1200000,661151,599996,61155,800,25,1.6,2.33E+01,0.048582,0.000023,0.092498
2017-01-15 1:51,1200000,711273,599998,111275,900,25,1.8,2.44E+01,0.050788,0.00001,0.156445
2017-01-15 1:51,1200000,758522,599999,158523,1000,25,2,2.48E+01,0.051611,0.000001,0.208989
2017-01-15 1:51,1200000,113957,113957,0,100,50,0.2,1.11E-02,0.002116,0.989068,0
2017-01-15 1:51,1200000,217537,217537,0,200,50,0.4,5.12E-02,0.002282,0.951407,0
2017-01-15 1:51,1200000,310688,310688,0,300,50,0.6,1.38E-01,0.002535,0.878207,0
2017-01-15 1:51,1200000,395339,395339,0,400,50,0.8,3.20E-01,0.00297,0.758648,0
2017-01-15 1:51,1200000,472183,472183,0,500,50,1,7.30E-01,0.003855,0.57841,0
2017-01-15 1:51,1200000,540893,540893,0,600,50,1.2,2.06E+00,0.00656,0.324971,0
2017-01-15 1:51,1200000,603560,598758,4802,700,50,1.4,3.03E+01,0.06265,0.008728,0.007956
2017-01-15 1:51,1200000,660590,599998,60592,800,50,1.6,4.82E+01,0.098486,0.000008,0.091724
2017-01-15 1:51,1200000,712954,599999,112955,900,50,1.8,4.94E+01,0.100818,0.000006,0.158432
2017-01-15 1:51,1200000,758235,599999,158236,1000,50,2,4.98E+01,0.101595,0.000001,0.20869
